stock price ,rate of return on total assets_ROA_A,net assets income rateA,operating profit ratio,Sales Margin rate,turnover of account receivableA,rate of stock turnoverA,velocity of liquid assetsA,turnover of total capitalA, liquidity ratio,quick ratio,asset-liability ratio,equity multiplier,Total Assets Growth RateA,net profit growth rateA,increase rate of business revenue,sustainable growth rate
21.61,0.121386,0.132871,0.290876,0.302877,1.973517,4.704993,0.628905,0.400777,7.907656,7.53594,0.086434,1.094612,0.074916,0.735358,0.404529,0.093065
11.56,0.146654,0.154035,0.459153,0.397007,2.378458,1.403312,0.544518,0.3694,15.521238,14.264261,0.047916,1.050327,0.125825,-0.135686,0.079896,0.108911
14.7,0.154913,0.208913,0.174533,0.152238,26.698053,3.314591,1.361672,1.017569,2.891113,2.308431,0.25848,1.34858,0.285072,2.94509,0.968384,0.167203
12.75,0.070378,0.080534,0.122215,0.195572,2.311944,1.824801,0.603102,0.359856,4.85521,4.095397,0.126114,1.144313,0.055495,0.05754,0.225008,0.07683
7.11,0.027733,0.033302,0.080283,0.067811,2.630343,3.51059,0.607223,0.408977,4.124295,3.634091,0.167224,1.200803,-0.028447,-14.120561,0.219988,0.001099
19.8,0.113251,0.127485,0.223832,0.218812,5.722892,3.772615,0.881164,0.517572,5.362788,5.021824,0.111658,1.125693,0.08164,-0.02654,0.145946,0.050509
7.6,0.048894,0.062979,0.062537,0.099726,1.977154,3.93387,0.814277,0.490279,2.692103,2.331279,0.223655,1.288088,0.149919,-0.029836,0.795078,0.032477
15.8,0.022363,0.030241,0.050407,0.032691,4.246438,270.264633,1.0254,0.684086,2.575957,2.569874,0.260502,1.352268,0.108455,-0.815395,0.051764,0.023099
19.51,0.10968,0.133462,0.172462,0.162072,2.210342,3.699228,1.076981,0.676733,4.169508,3.310071,0.178193,1.216831,0.107115,0.574077,0.16875,0.119214
21.09,0.094346,0.116051,0.153893,0.11101,19.053826,9.492863,1.85972,0.849889,2.459569,2.194427,0.187028,1.230054,0.120787,-0.426598,-0.117724,0.097893
7.99,0.108018,0.120312,0.263755,0.230086,4.243381,1.118564,0.681655,0.469467,15.204453,12.816127,0.10219,1.113821,0.112341,0.008254,-0.037862,0.066106
36.1,0.105608,0.119186,0.137974,0.127327,9.273221,48.381079,1.06311,0.829428,7.1407,7.036889,0.113922,1.128569,0.169431,1.673861,0.276546,0.091675
9.36,0.056675,0.06372,0.203986,0.206028,1.602844,1.632706,0.309422,0.275083,8.040535,7.237523,0.110568,1.124313,0.052024,0.022636,0.645028,0.038112
15.29,0.103119,0.121255,0.185754,0.166864,5.551914,5.059287,0.96204,0.61798,5.418673,4.758803,0.149569,1.175874,0.13311,-0.313765,0.056636,0.076946
21.07,0.053976,0.138431,0.082654,0.078601,3.242283,1.530058,0.72577,0.686711,1.550904,1.007888,0.610084,2.564657,0.393376,1.02457,0.399293,0.141507
8.95,0.024215,0.0689,0.059519,0.055305,2.109436,0.934034,0.613598,0.437839,1.236099,0.677524,0.648548,2.845341,0.164084,-0.102312,0.747997,0.073998
6.89,0.008937,0.037885,0.008941,0.006082,5.260607,3.932906,1.542999,1.469281,1.246531,0.826464,0.764106,4.239189,0.104715,-3.033293,0.217256,0.039376
8.71,-0.042929,-0.047434,-0.273657,-0.254631,0.684786,2.407702,0.198854,0.168593,8.925947,8.358244,0.094984,1.104953,-0.026782,30.436982,0.171056,-0.045286
38.46,0.110298,0.148415,0.141881,0.204235,2.961361,1.533301,0.809832,0.540056,3.374578,2.090268,0.256828,1.345584,0.194755,1.714267,0.19774,0.146401
7.38,0.051542,0.102689,0.085942,0.075047,1.177533,5.392332,0.818015,0.686803,1.721523,1.558131,0.498074,1.992324,0.219137,1.50093,0.451395,0.106046
34.52,0.144678,0.187999,0.251639,0.212068,3.5124,2.181219,1.254272,0.682228,2.89894,2.56847,0.23043,1.299428,0.280184,-0.204113,0.278682,0.204847
28.49,0.058171,0.113289,0.183302,0.173621,1.385389,0.977318,0.49623,0.335046,1.72388,1.291652,0.486525,1.947515,0.679526,2.845854,1.623423,0.075953
5.99,0.023484,0.039233,0.058552,0.061698,1.607779,3.216373,0.488224,0.380632,2.854307,2.545133,0.401421,1.670623,0.440145,-1.212577,0.304032,0.022054
6.47,-0.43657,-0.702594,-3.187434,-3.272294,0.677181,0.574304,0.206463,0.133414,1.710241,1.020579,0.378631,1.60935,-0.269945,10.668821,-0.878094,-0.412661
9.74,0.055769,0.062141,0.114489,0.140582,3.217493,4.311152,0.650931,0.396702,7.040851,6.440752,0.102544,1.114261,0.069494,0.140658,0.271666,0.051783
9.39,0.090293,0.109459,0.16933,0.146032,2.607645,8.794286,0.87244,0.618313,4.210305,3.910999,0.175093,1.212259,0.136028,-0.094692,0.182868,0.050934
32.56,0.023708,0.030593,0.087142,0.085228,3.500819,2.327135,0.532395,0.278176,3.190771,2.644484,0.225046,1.290399,0.282943,-0.371,-0.032288,0.014682
16.83,0.063434,0.071151,0.176271,0.151668,4.815401,4.009719,0.542585,0.418242,8.728896,7.846851,0.108461,1.121656,0.134287,0.054441,-0.040813,0.037608
13.19,0.03652,0.04631,0.130543,0.161838,1.171049,1.257185,0.34442,0.225657,4.060712,3.385158,0.211399,1.268068,0.034268,0.300623,0.264693,0.048558
11.68,0.006691,0.008646,-0.04847,0.019043,2.182217,25.955996,0.64762,0.35134,2.650519,2.62617,0.226197,1.292318,0.036826,-0.06595,1.496141,0.008722
27.9,0.096023,0.110983,0.225028,0.196333,3.738826,4.063552,0.651317,0.489081,5.714327,5.122337,0.134801,1.155803,0.10619,0.05263,-0.090911,0.080371
9.33,0.036272,0.05231,0.067722,0.095629,1.259823,1.28383,0.486531,0.379296,2.542705,1.805862,0.3066,1.442169,0.104932,0.68123,1.132699,0.045738
14.64,0.155143,0.170702,0.241917,0.219774,5.503563,3.753837,0.843478,0.705923,11.002088,10.601249,0.091146,1.100287,0.074828,-0.128819,-0.13889,0.084603
14.99,0.242253,0.304671,-0.08705,0.908108,0.948891,2.421558,0.357936,0.266767,5.417566,4.795341,0.204868,1.257653,0.293166,77.467026,0.655179,0.394371
12.66,0.068165,0.077191,0.143292,0.139883,4.217577,2.878699,0.874912,0.4873,7.050555,5.714701,0.116926,1.132409,0.103052,-0.433285,-0.063553,0.050846
10.99,0.017838,0.019293,0.032838,0.077132,5.745417,4.565908,0.405476,0.231271,14.623773,13.656189,0.075399,1.081547,-0.031371,-0.610757,0.267232,0.002995
13.77,0.074891,0.123964,0.117516,0.103069,34.12933,6.386191,2.28425,0.726617,0.815435,0.585173,0.39586,1.655245,0.632022,-0.070211,-0.095373,0.115478
8.15,0.050762,0.065041,0.119006,0.12107,2.026923,1.245311,0.444006,0.419277,4.378602,3.171346,0.219539,1.281294,0.159567,0.541407,0.184464,0.050329
17.06,0.054847,0.059838,0.138011,0.161015,2.059238,3.460971,0.523608,0.340633,12.970419,11.906664,0.083404,1.090993,0.0499,5.278744,0.467161,0.053674
8.46,0.063924,0.069128,0.249212,0.217052,8.515125,1.876457,0.382316,0.29451,11.167178,9.669657,0.075286,1.081416,-0.03838,-0.180243,-0.181618,0.002013
9.73,0.081365,0.095811,0.164674,0.152935,1.843045,3.850329,0.878129,0.532023,4.247072,3.666908,0.150773,1.177541,0.134169,1.06453,0.716814,0.070953
10.43,0.075832,0.090109,0.171366,0.193803,1.262667,1.329571,0.513165,0.391283,4.812427,3.651391,0.158442,1.188272,-0.011437,0.287633,0.455186,0.059931
11.12,0.039696,0.05019,0.124563,0.090328,3.706712,4.428043,0.692903,0.439463,3.496419,3.327419,0.209085,1.264359,0.061986,-1.239678,0.398137,0.052842
10.52,0.008542,0.008954,0.002755,0.038259,1.588635,3.145832,0.268416,0.223254,21.036678,20.028879,0.046025,1.048246,-0.023556,-1.514628,0.241758,0.006946
8.53,0.040789,0.041802,0.176497,0.159865,1.735045,1.885492,0.395958,0.255145,34.495281,29.988771,0.024243,1.024845,0.019375,-1.168015,-0.035062,0.03483
31.37,0.045502,0.056447,0.196367,0.169914,2.309603,4.577998,0.346574,0.267796,5.216848,4.912906,0.193896,1.240534,0.029381,0.506539,0.982605,0.038228
13.46,0.046186,0.092849,0.108929,0.089297,3.996996,3.119675,1.057543,0.517214,1.537926,1.113952,0.50257,2.010333,1.050074,0.560829,0.113648,0.086929
8.95,0.000679,0.001078,0.004426,0.001245,4.364444,1.492401,0.968998,0.545488,1.656592,0.849955,0.370325,1.588122,0.021307,7.637355,0.069685,0.001079
8.78,0.045663,0.054583,0.153806,0.13518,1.349406,1.192849,0.467112,0.337796,4.663466,3.658363,0.163423,1.195348,0.064467,0.433484,0.247848,0.035921
9.97,0.019198,0.022359,0.053107,0.040413,2.729212,2.287313,0.636202,0.475046,5.593263,4.402774,0.141388,1.16467,0.089624,-0.444179,0.065072,0.006866
5.1,0.058975,0.085857,0.249325,0.224528,3.828372,2.049301,0.754572,0.262661,1.561195,1.222307,0.313104,1.455823,0.317014,-0.721537,-0.004745,0.074073
